ID,Name,Dribbling,BallControl,Acceleration,Balance,Stamina,Strength,Vision,Release Clause
158023,L. Messi,97,96,91,95,72,59,94,227
20801,Cristiano Ronaldo,88,94,89,70,88,79,82,127
190871,Neymar Jr,96,95,94,84,81,49,87,228
193080,De Gea,18,42,57,43,43,64,68,139
192985,K. De Bruyne,86,91,78,77,90,75,94,196
183277,E. Hazard,95,94,94,94,83,66,89,172
177003,L. Modrić,90,93,80,94,89,58,92,137
176580,L. Suárez,87,90,86,83,90,83,84,164
155862,Sergio Ramos,63,84,76,66,84,83,63,105
200389,J. Oblak,12,16,43,49,41,78,70,145
188545,R. Lewandowski,85,89,77,78,78,84,77,127
182521,T. Kroos,81,90,64,71,75,73,86,157
182493,D. Godín,53,76,68,54,66,88,52,90
168542,David Silva,89,94,70,90,78,52,92,111
215914,N. Kanté,79,80,82,92,96,76,79,121
211110,P. Dybala,92,92,87,85,80,65,87,154
202126,H. Kane,80,84,68,71,89,84,80,161
194765,A. Griezmann,88,90,88,80,83,62,83,166
192448,M. ter Stegen,17,18,38,43,35,79,69,123
192119,T. Courtois,13,23,46,45,38,70,44,114
189511,Sergio Busquets,80,88,50,52,86,77,87,106
179813,E. Cavani,80,82,75,59,92,78,77,111
167495,M. Neuer,30,48,54,35,43,80,70,63
153079,S. Agüero,89,89,88,91,76,73,83,119
138956,G. Chiellini,58,57,63,55,65,89,50,45
231747,K. Mbappé,90,91,96,83,83,71,82,166
209331,M. Salah,89,88,94,88,84,70,82,137
200145,Casemiro,69,78,59,66,87,89,77,126
198219,L. Insigne,90,93,94,93,75,44,87,105
197781,Isco,94,95,75,90,70,59,89,156
190460,C. Eriksen,84,91,75,81,92,58,91,142
189242,Coutinho,91,92,89,93,79,61,90,148
188567,P. Aubameyang,79,82,93,70,76,76,77,112
178603,M. Hummels,68,81,53,60,66,84,79,76
176676,Marcelo,90,92,83,86,91,78,82,88
173731,G. Bale,87,85,94,65,75,80,79,123
167948,H. Lloris,10,34,65,54,41,43,30,67
164240,Thiago Silva,62,80,70,68,74,82,72,44
162835,S. Handanovič,12,16,51,36,41,71,41,51
1179,G. Buffon,26,28,49,49,39,69,50,7
205600,S. Umtiti,69,77,71,66,78,84,58,121
201399,M. Icardi,77,81,77,76,72,76,64,115
201024,K. Koulibaly,66,60,68,40,71,94,43,91
195864,P. Pogba,87,90,71,64,88,89,87,123
193041,K. Navas,16,19,54,61,39,75,68,63
192505,R. Lukaku,80,72,77,46,84,94,76,120
192387,C. Immobile,83,83,78,63,80,76,65,88
189332,Jordi Alba,80,84,93,85,91,61,70,78
175943,D. Mertens,91,89,93,92,75,42,83,77
172871,J. Vertonghen,71,76,61,60,75,79,68,63
171877,M. Hamšík,86,87,69,66,84,67,86,79
168651,I. Rakitić,84,87,66,66,84,66,86,95
152729,Piqué,59,78,49,36,65,83,62,70
222492,L. Sané,88,85,93,81,79,70,82,125
218667,Bernardo Silva,92,91,84,88,78,48,86,115
210257,Ederson,23,37,64,48,41,68,67,80
208722,S. Mané,87,86,95,86,84,67,82,103
203376,V. van Dijk,70,73,74,49,71,92,59,88
202652,R. Sterling,88,87,95,93,78,52,77,109
201942,Roberto Firmino,87,88,78,81,90,74,85,105
201535,R. Varane,57,77,83,40,73,84,56,106
199556,M. Verratti,90,88,69,94,77,52,87,106
191043,Alex Sandro,80,81,83,78,92,79,70,60
190483,Douglas Costa,92,91,97,91,78,63,84,77
189596,T. Müller,75,82,73,72,87,68,85,74
189509,Thiago,90,90,78,86,75,59,86,75
188350,M. Reus,87,86,86,81,73,67,86,74
184432,Azpilicueta,69,77,76,73,87,71,74,65
184344,L. Bonucci,69,75,57,52,71,83,74,50
184087,T. Alderweireld,62,74,61,50,74,79,67,75
180206,M. Pjanić,86,89,66,79,78,66,88,73
177509,M. Benatia,64,64,65,53,69,91,47,50
176635,M. Özil,84,90,72,70,69,57,91,83
135507,Fernandinho,77,82,68,78,79,76,75,33
41,Iniesta,90,92,70,84,55,58,93,27
232363,M. Škriniar,59,67,70,48,77,83,57,88
223848,S. Milinković-Savić,86,87,68,59,85,88,85,90
220834,Marco Asensio,86,85,85,76,76,61,84,122
216594,N. Fekir,90,89,79,91,80,82,81,99
212831,Alisson,27,30,54,37,32,78,66,72
212622,J. Kimmich,80,85,78,83,85,65,79,70
208421,Saúl,83,85,74,69,86,77,82,107
204485,R. Mahrez,91,90,88,88,76,54,81,75
197445,D. Alaba,79,83,79,77,87,71,77,66
193747,Koke,82,86,71,78,90,79,87,96
193301,A. Lacazette,85,83,81,85,79,73,76,89
192774,K. Manolas,54,65,80,59,76,82,22,67
192366,N. Otamendi,51,70,57,62,67,80,53,53
189513,Parejo,78,84,51,72,78,72,86,78
186153,W. Szczęsny,11,22,51,51,45,65,48,55
184941,A. Sánchez,87,86,86,87,83,72,82,69
184267,Y. Brahimi,93,86,87,87,85,49,79,78
183907,J. Boateng,64,70,67,52,69,91,75,50
181872,A. Vidal,76,82,60,75,83,79,80,53
181458,I. Perišić,84,85,84,74,89,78,79,64
180930,E. Džeko,76,84,65,36,76,80,74,52
179846,S. Khedira,81,84,54,54,78,87,82,55
179844,Diego Costa,77,83,74,53,76,92,74,79
178518,R. Nainggolan,80,85,78,82,93,77,76,60
171919,Naldo,60,68,60,36,61,83,59,15
170890,B. Matuidi,78,79,79,79,94,76,76,43
168609,Miranda,67,73,66,57,65,79,58,26
165153,K. Benzema,83,86,76,66,75,80,85,76
164169,Filipe Luís,77,83,76,62,89,74,70,44
139720,V. Kompany,63,70,52,41,66,87,59,41
120533,Pepe,58,62,65,49,60,86,48,17
41236,Z. Ibrahimović,79,84,58,39,61,86,79,21
220793,D. Sánchez,63,73,72,55,76,83,49,66
216460,J. Giménez,47,56,69,43,67,85,27,72
212462,Alex Telles,82,82,84,70,92,68,74,66
212218,A. Laporte,59,73,62,55,67,82,57,66
212198,Bruno Fernandes,83,85,79,78,89,67,86,84
212190,N. Süle,42,63,52,33,65,94,30,68
211300,A. Martial,87,86,88,81,75,75,73,87
211117,D. Alli,83,85,73,62,90,71,85,87
209499,Fabinho,76,82,69,67,92,79,75,67
207865,Marquinhos,59,76,73,68,75,74,51,68
207566,William Carvalho,80,79,49,51,84,90,83,69
205498,Jorginho,82,85,75,73,79,66,87,73
204970,F. Thauvin,85,86,87,71,83,66,80,77
204963,Carvajal,76,83,79,79,84,74,57,67
202556,M. Depay,85,85,87,79,79,80,82,83
200104,H. Son,88,85,88,76,85,63,80,71
199482,A. Lopes,15,21,63,62,36,73,48,49
198176,S. de Vrij,63,71,67,59,66,80,59,56
198009,M. Perin,19,23,57,30,30,52,44,51
193082,J. Cuadrado,90,85,89,82,78,61,76,49
192629,Iago Aspas,86,85,85,74,75,60,75,63
192563,B. Leno,16,22,46,44,43,68,54,53
191202,N. Matić,80,79,52,50,84,85,73,44
190941,L. Hrádecký,10,20,38,39,34,55,53,37
190584,Illarramendi,78,83,66,75,77,68,86,65
188377,K. Walker,79,78,86,72,89,75,69,45
186942,I. Gündoğan,85,86,67,78,69,72,86,59
185020,José Callejón,82,85,88,80,91,55,78,47
183898,A. Di María,86,85,85,77,73,60,82,55
181783,M. Mandžukić,76,77,67,53,83,85,74,41
180403,Willian,88,84,91,79,85,60,83,56
178750,Sergio Asenjo,15,14,59,58,41,73,46,52
178562,E. Banega,84,86,68,83,74,67,88,61
177413,A. Witsel,78,84,67,60,86,82,79,41
177388,D. Payet,86,90,75,80,73,72,87,52
176769,Jonas,84,88,65,69,66,63,83,33
172879,Sokratis,58,58,64,64,69,86,45,44
167628,S. Ruffier,12,15,45,55,37,76,49,36
167397,Falcao,75,82,69,75,68,75,70,48
163587,K. Schmeichel,12,40,59,47,34,64,59,36
157481,Raúl Albiol,59,71,54,56,55,82,57,31
143076,A. Gómez,89,87,94,94,75,48,85,51
137186,A. Barzagli,64,65,61,64,53,83,62,7
20775,Quaresma,89,88,84,84,65,55,84,30
9014,A. Robben,89,88,83,90,64,67,80,26
231443,O. Dembélé,90,83,93,85,73,46,84,90
230666,Gabriel Jesus,86,85,87,91,84,68,77,84
230481,Ronaldo Cabrais,85,83,88,76,86,70,83,50
230375,Josué Chiamulera,56,70,83,68,76,73,42,41
230294,Louri Beretta,75,74,79,55,56,87,58,54
225850,P. Kimpembe,58,78,75,65,80,84,60,63
220971,N. Keïta,88,88,78,90,82,58,81,67
219683,C. Tolisso,77,81,75,74,87,77,80,59
213565,T. Lemar,85,86,86,86,79,63,85,80
213345,K. Coman,88,83,95,84,76,61,75,59
213331,J. Tah,55,64,64,44,63,93,61,52
212188,T. Werner,83,84,93,76,83,59,61,61
210008,A. Rabiot,79,83,73,72,82,80,80,64
209658,L. Goretzka,81,83,84,70,86,70,82,59
208808,Q. Promes,84,82,90,79,83,61,81,66
