Restaurant_ID,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Aggregate_rating,Rating_color,Rating_text,Votes
6317637,Yes,No,No,No,3,4.8,Dark Green,Excellent,314
6304287,Yes,No,No,No,3,4.5,Dark Green,Excellent,591
6300002,Yes,No,No,No,4,4.4,Green,Very Good,270
6318506,No,No,No,No,4,4.9,Dark Green,Excellent,365
6314302,Yes,No,No,No,4,4.8,Dark Green,Excellent,229
18189371,No,No,No,No,3,4.4,Green,Very Good,336
6300781,Yes,No,No,No,4,4,Green,Very Good,520
6301290,Yes,No,No,No,4,4.2,Green,Very Good,677
6300010,Yes,No,No,No,4,4.9,Dark Green,Excellent,621
6314987,Yes,No,No,No,3,4.8,Dark Green,Excellent,532
6309903,No,No,No,No,3,4.9,Dark Green,Excellent,1070
6309455,Yes,No,No,No,3,4.2,Green,Very Good,488
6318433,No,No,No,No,3,4.8,Dark Green,Excellent,294
6310470,Yes,No,No,No,3,4.2,Green,Very Good,458
6314605,No,No,No,No,3,4.3,Green,Very Good,223
18185059,No,No,No,No,3,3.6,Yellow,Good,29
18182702,No,No,No,No,3,4,Green,Very Good,72
6318213,Yes,No,No,No,3,4.5,Dark Green,Excellent,211
18255654,No,No,No,No,2,4.5,Dark Green,Excellent,118
6308205,Yes,No,No,No,4,4.4,Green,Very Good,392
6315438,Yes,No,No,No,4,4.7,Dark Green,Excellent,535
6310406,Yes,No,No,No,4,4.5,Dark Green,Excellent,618
6600681,No,No,No,No,2,3,Orange,Average,6
6601005,No,No,No,No,1,3.8,Yellow,Good,9
6600292,No,No,No,No,2,3.7,Yellow,Good,11
6600441,No,No,No,No,3,3.8,Yellow,Good,11
6600970,No,No,No,No,2,3.2,Orange,Average,11
6600379,No,No,No,No,3,3.1,Orange,Average,10
6600214,No,No,No,No,3,3.7,Yellow,Good,8
6601218,No,No,No,No,4,3.7,Yellow,Good,5
6600060,No,No,No,No,1,0,White,Not rated,2
6600083,No,No,No,No,4,4.1,Green,Very Good,12
6601515,No,No,No,No,4,3.1,Orange,Average,9
6601361,No,No,No,No,3,3.6,Yellow,Good,9
6601602,No,No,No,No,4,4.3,Green,Very Good,29
6601589,No,No,No,No,4,4.2,Green,Very Good,17
6601862,No,No,No,No,4,3.6,Yellow,Good,5
6601595,No,No,No,No,4,4,Green,Very Good,10
6601158,No,No,No,No,4,3.2,Orange,Average,6
6600427,No,No,No,No,4,4.9,Dark Green,Excellent,30
6600116,No,No,No,No,4,3.3,Orange,Average,8
6601457,No,No,No,No,2,3.6,Yellow,Good,9
7303219,No,No,No,No,4,4,Green,Very Good,7
7304307,No,No,No,No,4,4.8,Dark Green,Excellent,29
7301215,No,No,No,No,3,4.7,Dark Green,Excellent,24
7300596,No,No,No,No,3,4.5,Dark Green,Excellent,29
7300612,No,No,No,No,4,4.2,Green,Very Good,11
7300704,No,No,No,No,3,4.8,Dark Green,Excellent,19
7300955,No,No,No,No,4,4.9,Dark Green,Excellent,40
7300521,No,No,No,No,3,4.6,Dark Green,Excellent,21
7300515,No,No,No,No,4,4.9,Dark Green,Excellent,49
7300483,No,No,No,No,4,4.6,Dark Green,Excellent,21
7301064,No,No,No,No,3,4.3,Green,Very Good,14
7304312,No,No,No,No,4,4,Green,Very Good,5
7300004,No,No,No,No,4,4.6,Dark Green,Excellent,25
7300868,No,No,No,No,4,4.4,Green,Very Good,13
7302637,No,No,No,No,2,4.2,Green,Very Good,7
7302140,No,No,No,No,4,4.2,Green,Very Good,8
7305048,No,No,No,No,3,0,White,Not rated,1
7302898,No,No,No,No,4,4.7,Dark Green,Excellent,44
7302859,No,No,No,No,3,4.6,Dark Green,Excellent,24
7301700,No,No,No,No,3,4.3,Green,Very Good,10
6706313,No,No,No,No,4,4.5,Dark Green,Excellent,49
6704326,No,No,No,No,4,4.4,Green,Very Good,17
6711179,No,No,No,No,3,3.1,Orange,Average,5
6702797,No,No,No,No,4,4.1,Green,Very Good,15
6700475,No,No,No,No,4,4.8,Dark Green,Excellent,59
6713413,No,No,No,No,4,4.6,Dark Green,Excellent,30
6714340,No,No,No,No,3,3.9,Yellow,Good,5
6710645,No,No,No,No,2,0,White,Not rated,0
6700402,No,No,No,No,4,3.4,Orange,Average,73
6700846,No,No,No,No,4,3.5,Yellow,Good,9
6702159,No,No,No,No,4,4.3,Green,Very Good,39
6711666,No,No,No,No,4,3.9,Yellow,Good,12
6701257,No,No,No,No,4,4.3,Green,Very Good,68
6706211,No,No,No,No,4,4.3,Green,Very Good,46
6705858,No,No,No,No,4,4.4,Green,Very Good,37
6701419,No,No,No,No,3,0,White,Not rated,2
6703956,No,No,No,No,2,0,White,Not rated,2
6709580,No,No,No,No,4,4.4,Green,Very Good,22
6703176,No,No,No,No,3,4.6,Dark Green,Excellent,58
6713772,No,No,No,No,4,4.1,Green,Very Good,11
17284404,No,No,No,No,2,3.3,Orange,Average,35
17284203,No,No,No,No,1,3.3,Orange,Average,25
17284105,No,No,No,No,1,3.4,Orange,Average,34
17284302,No,No,No,No,1,3.4,Orange,Average,45
17284397,No,No,No,No,1,3.4,Orange,Average,26
17284211,No,No,No,No,1,3.4,Orange,Average,36
17284094,No,No,No,No,1,3.5,Yellow,Good,67
17284409,No,No,No,No,1,3.9,Yellow,Good,141
17284139,No,No,No,No,2,3.7,Yellow,Good,147
17284403,No,No,No,No,4,3.5,Yellow,Good,51
17284145,No,No,No,No,2,3.6,Yellow,Good,88
17284150,No,No,No,No,1,3.8,Yellow,Good,153
17284158,No,No,No,No,1,3.9,Yellow,Good,160
17284175,No,No,No,No,2,3.5,Yellow,Good,57
17284179,No,No,No,No,2,3.5,Yellow,Good,58
17284197,No,No,No,No,3,3.6,Yellow,Good,115
17284241,No,No,No,No,3,3.5,Yellow,Good,51
17284390,No,No,No,No,3,3.8,Yellow,Good,250
17284279,No,No,No,No,1,3.7,Yellow,Good,117
17284364,No,No,No,No,1,3.4,Orange,Average,20
16611114,No,No,No,No,2,3.5,Yellow,Good,25
17293281,No,No,No,No,3,4.5,Dark Green,Excellent,1821
17293301,No,No,No,No,1,4.5,Dark Green,Excellent,849
17293409,No,No,No,No,1,4.6,Dark Green,Excellent,917
17293163,No,No,No,No,1,3.9,Yellow,Good,439
17293228,No,No,No,No,1,3.7,Yellow,Good,289
17293880,No,No,No,No,1,4.3,Green,Very Good,558
17293169,No,No,No,No,1,4.2,Green,Very Good,613
17293186,No,No,No,No,2,4,Green,Very Good,353
17293180,No,No,No,No,2,4.1,Green,Very Good,387
17293205,No,No,No,No,3,4.3,Green,Very Good,755
17293229,No,No,No,No,1,4.2,Green,Very Good,800
17293897,No,No,No,No,1,4.1,Green,Very Good,350
17293273,No,No,No,No,3,4.1,Green,Very Good,464
17293870,No,No,No,No,2,4.2,Green,Very Good,550
17293877,No,No,No,No,1,4.1,Green,Very Good,543
17293890,No,No,No,No,3,4.1,Green,Very Good,465
17293915,No,No,No,No,1,4.4,Green,Very Good,546
17293422,No,No,No,No,1,4.4,Green,Very Good,1098
17293873,No,No,No,No,2,4.2,Green,Very Good,579
17294014,No,No,No,No,1,4.1,Green,Very Good,374
17294556,No,No,No,No,3,4.6,Dark Green,Excellent,717
17294607,No,No,No,No,3,4.9,Dark Green,Excellent,548
17294279,No,No,No,No,2,4.5,Dark Green,Excellent,631
17294300,No,No,No,No,1,3.9,Yellow,Good,372
17295215,No,No,No,No,2,3.9,Yellow,Good,201
17295028,No,No,No,No,3,3.8,Yellow,Good,332
17294642,No,No,No,No,2,3.5,Yellow,Good,304
17295109,No,No,No,No,3,4.3,Green,Very Good,368
17294441,No,No,No,No,2,4.1,Green,Very Good,430
17294552,No,No,No,No,2,4.4,Green,Very Good,433
17294565,No,No,No,No,1,4,Green,Very Good,380
17294623,No,No,No,No,2,4,Green,Very Good,456
17294712,No,No,No,No,3,4.2,Green,Very Good,647
17295033,No,No,No,No,3,4,Green,Very Good,360
17295069,No,No,No,No,2,4,Green,Very Good,227
17294261,No,No,No,No,2,3.9,Yellow,Good,290
17295115,No,No,No,No,1,4.1,Green,Very Good,270
17294836,No,No,No,No,2,4,Green,Very Good,326
17294850,No,No,No,No,3,4.3,Green,Very Good,317
17294883,No,No,No,No,1,4.2,Green,Very Good,300
